Product URL,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Care Instructions: Hand Wash Only    100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight",B09B25Z8M2,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Visit the Safari Store
https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,"Outer Material: Fabric, Color: Black; Water resistant    Capacity: 21 liters; Weight: 480 grams; Dimensions: 18 inches x 13 inches x 5 inches (LxWxH)    Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 15 inches    Pocket Description: Utility Pocket; Closure Type: Zipper; Age Range Description: Adult; Style Name: Traditional Backpacks; Special Features: Laptop Compartment; Lining Description: Nylon    Fits upto 15"",Side mesh pocket for water bottle",B07FC4D9B5,"Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby.",Brand: Wildcraft
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,"Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant; Dimensions: 36 cms x 13 cms x 50 cms (LxWxH)    Number of compartments: 3    Laptop Compatible: Fits up to 15.4 laptop    Light Weight    Note : Laptop compartment has no strap",B012D4QWES,The durable Peza workpack is designed for travel enthusiasts. It perfectly organizes your belongings and comes with a specially designed padded back system for enhanced carrying comfort. Laptop Compatible: Fits up to 15.4 laptop ; Quick-access side mesh pocket ; Ventex back system allows ventilation and better airflow.,Brand: Wildcraft
