Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),₹599,3.8,223
https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,₹431,3.6,855
https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹479,3.9,10258
https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,₹512,4.0,6055
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,₹843,3.7,904
https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBC51P,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","₹1,329",4.2,502
https://www.amazon.in/DZert-School-Plush-Backpacks-Cartoon/dp/B08BCP78YF,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹249,3.7,971
https://www.amazon.in/FUR-JADEN-Waterproof-Charging-BM25_Grey/dp/B07FM9BSKW,FUR JADEN 15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women,₹749,4.0,6102
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹670,4.0,4631
https://www.amazon.in/GoTrippin-Camping-Outdoors-Polyester-Adjustable/dp/B088LHS5LP,"GoTrippin Waist Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black)",₹999,4.5,2122
https://www.amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76,"Ah Arctic Hunter Premium Business Backpack For Men Office, Travel With 15.6 Inch Laptop Pocket Water/Scratch-Resistant Multiple Pocket Padded College Backpack","₹5,699",4.4,129
https://www.amazon.in/PUMA-Gym-Bag-IND-Fig-CASTLEROCK/dp/B089T98TKG,Puma Unisex Gym Bag IND,₹619,4.0,460
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,3066
